Label,ESM,Others,Move,Route_Conflict (Move),Route_Conflict (Rot),Rotation,Sum,RotCount
L2,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L8,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L14,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L20,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L30,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L36,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L44,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L50,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L56,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L62,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L68,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L72,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L78,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L84,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L90,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L96,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L100,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L106,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L112,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L118,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L124,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L132,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L138,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L144,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L150,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L154,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L164,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L168,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L174,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L180,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L186,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L192,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L198,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L202,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L212,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L222,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L232,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L240,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L250,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L260,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L266,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L270,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L280,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L290,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L300,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L306,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L316,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L326,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L330,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L344,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L350,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L354,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L360,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L366,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L372,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L378,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L382,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L390,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L396,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L402,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L408,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L414,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L418,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L420,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L426,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L432,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L438,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L448,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
